pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2013011910,1,2013,10,13,2010,0,0,1,6,99,14,3
2013011910,2,2013,10,0,0,0,0,1,15,99,0,3
2013034385,1,2013,10,13,2011,0,0,1,7,99,17,3
2013034385,2,2013,10,6,2001,0,0,1,1,99,1,3
2013000446,1,2013,10,8,2013,0,0,1,1,3,2,3
2013000446,2,2013,10,8,2007,0,0,1,1,5,2,3
2013012903,1,2013,10,13,2002,0,0,1,11,37,11,3
2013061628,1,2013,6,6,1999,0,0,1,1,99,1,3
2013002656,1,2013,10,0,0,0,0,1,17,99,0,3
2013018836,1,2013,10,6,2008,0,0,1,1,4,,3
2013031216,1,2013,10,6,2008,0,0,1,1,3,,3
2013031216,2,2013,10,9,2005,0,0,1,1,4,1,3
2013055918,1,2013,10,2,2010,3344,0,1,9,99,1,3
2013055918,2,2013,10,6,2009,2211,0,1,1,99,,3
2013046823,1,2013,10,6,1992,0,0,1,1,4,,3
2013003286,1,2013,10,12,1999,0,0,1,11,53,11,3
2013047390,1,2013,10,5,2000,0,0,1,1,99,1,3
2013047390,2,2013,10,6,2008,0,0,1,1,3,,3
2013055720,1,2013,10,6,1994,0,0,1,1,99,1,3
2013055720,2,2013,10,6,2012,0,0,1,1,99,1,3
2013045307,1,2013,10,6,2011,0,0,1,1,99,1,3
2013045307,2,2013,10,9,2012,0,0,1,12,3,2,3
2013019139,1,2013,5,6,2006,0,0,1,1,99,1,3
2013019139,2,2013,5,6,2011,0,0,1,1,3,1,3
2013021575,1,2013,10,6,2008,0,0,1,1,99,,3
2013021575,2,2013,10,9,2012,0,0,1,12,4,2,3
2013044137,1,2013,10,6,2009,0,0,1,1,3,,3
2013044137,2,2013,10,8,1998,0,0,1,1,99,1,3
2013023296,1,2013,10,6,1996,0,0,1,1,99,,3
2013023296,2,2013,10,5,2002,0,0,1,1,5,1,3
2013030597,1,2013,10,6,1977,0,0,1,1,99,,3
2013030597,2,2013,10,2,2011,0,0,1,10,1,1,3
2013035994,1,2013,10,2,2011,0,0,1,9,1,,3
2013023297,1,2013,10,8,2010,0,0,1,1,99,1,3
2013023297,2,2013,10,0,0,0,0,1,17,99,0,3
2013049642,1,2013,10,6,2007,0,0,1,1,99,,3
2013049642,2,2013,10,5,1998,0,0,1,1,5,1,3
2013008865,1,2013,10,6,2012,0,0,1,1,3,1,3
2013008865,2,2013,10,6,2001,0,0,1,1,99,1,3
2013028462,1,2013,10,6,1997,0,0,1,1,99,1,3
2013006732,1,2013,10,2,2010,0,0,1,9,1,,3
2013040082,1,2013,10,6,2012,0,0,1,12,3,1,3
2013040082,2,2013,10,6,2008,0,0,1,1,3,,3
2013028406,1,2013,10,6,2011,0,0,1,1,3,1,3
2013028406,2,2013,10,6,2012,0,0,1,1,3,1,3
2013035521,1,2013,9,9,1997,0,0,1,2,6,2,3
2013035521,2,2013,9,6,2005,0,0,1,1,99,,3
2013017534,1,2013,10,2,2012,0,0,1,9,1,,3
2013043414,2,2013,6,6,2001,0,0,1,1,3,,3
2013029487,1,2013,7,0,0,0,0,1,17,99,0,3
2013029487,2,2013,7,5,2001,0,0,1,1,99,1,3
2013057072,1,2013,8,6,2001,0,0,1,1,99,,3
2013057072,2,2013,8,0,0,0,0,1,15,99,0,3
2013009571,1,2013,5,6,2011,0,0,1,2,6,2,3
2013040344,1,2013,7,2,2013,0,0,1,10,1,,3
2013040344,2,2013,7,5,2008,0,0,1,1,3,1,3
2013046157,1,2013,7,6,2001,0,0,1,1,99,,3
2013046157,2,2013,7,5,2013,0,0,1,1,3,1,3
2013017497,1,2013,7,0,0,0,0,1,1,99,0,3
2013017497,2,2013,7,9,2006,0,0,1,1,99,1,3
2013039521,1,2013,6,6,2002,0,0,1,1,99,,3
2013039521,2,2013,6,9,2004,0,0,1,2,6,2,3
2013043276,1,2013,7,12,2010,0,0,1,11,34,11,3
2013020298,1,2013,7,2,2008,0,0,1,9,99,,3
2013020298,2,2013,7,2,2009,0,0,1,9,99,,3
2013025829,1,2013,7,0,0,0,0,1,8,99,0,3
2013034689,1,2013,1,6,2008,0,0,1,1,4,1,3
2013034689,2,2013,1,6,2010,0,0,1,1,99,1,3
2013009435,1,2013,7,13,2004,0,0,1,11,37,11,3
2013009435,2,2013,7,0,0,0,0,1,17,99,0,3
2013038250,1,2013,7,12,2011,0,0,1,11,37,11,3
2013058703,1,2013,7,2,2013,0,0,1,10,1,,3
2013058703,2,2013,7,9,2007,0,0,1,12,4,,3
2013028271,1,2013,7,9,1996,0,0,1,1,99,,3
2013028271,2,2013,7,3,2007,0,0,1,19,99,,3
2013035306,1,2013,7,8,2010,0,0,1,1,3,2,3
2013035306,2,2013,7,5,2011,0,0,1,1,3,1,3
2013035306,3,2013,7,6,2004,0,0,1,1,99,1,3
2013054699,1,2013,5,8,2001,0,0,1,1,99,1,3
2013038417,1,2013,6,8,2001,0,0,1,1,99,,3
2013038417,2,2013,6,6,2008,0,0,1,1,99,,3
2013041873,1,2013,6,6,2010,0,0,1,1,3,1,3
2013023405,1,2013,6,8,2001,0,0,1,1,5,,3
2013023405,2,2013,6,8,2010,0,0,1,1,99,,3
2013060960,1,2013,5,6,1993,0,0,1,1,99,,3
2013009153,1,2013,7,6,2010,0,0,1,1,3,1,3
2013009153,2,2013,7,6,1996,0,0,1,1,4,,3
2013009153,3,2013,7,6,2010,0,0,1,1,99,1,3
2013047736,1,2013,7,5,2012,0,0,1,1,3,1,3
2013027714,1,2013,7,6,2008,0,0,1,1,99,,3
2013009154,1,2013,6,6,2012,0,0,1,1,3,1,3
2013009154,2,2013,6,8,2009,0,0,1,1,99,,3
2013019924,1,2013,7,6,2005,0,0,1,1,99,,3
2013019924,2,2013,7,6,2001,0,0,1,1,99,,3
2013052759,1,2013,4,6,2009,0,0,1,1,4,1,3
2013052759,2,2013,4,13,2000,0,0,1,11,51,11,3
2013011535,1,2013,7,8,2003,0,0,1,1,99,,3
2013011535,2,2013,7,5,2003,0,0,1,1,99,,3
2013039866,1,2013,4,6,2005,0,0,1,1,4,1,3
2013039866,2,2013,4,5,1982,0,0,1,1,99,,3
2013016293,1,2013,7,9,2001,0,0,1,2,5,2,3
2013018823,1,2013,7,6,2010,1122,0,1,1,99,1,3
2013018823,2,2013,7,0,0,0,0,1,15,99,0,3
2013040456,1,2013,6,2,2010,0,0,1,10,1,1,3
2013027266,1,2013,5,10,1996,0,0,1,1,99,,3
2013027266,2,2013,5,0,0,0,0,1,17,99,0,3
2013057071,1,2013,7,6,1996,0,0,1,1,99,,3
2013057071,2,2013,7,0,0,0,0,1,15,99,0,3
2013031759,1,2013,7,6,2005,0,0,1,1,99,,3
2013015691,1,2013,7,2,2011,0,0,1,9,1,1,3
2013003169,1,2013,7,8,2007,0,0,1,2,3,2,3
2013003169,2,2013,7,6,2010,0,0,1,1,99,1,3
2013025460,1,2013,6,8,2012,0,0,1,1,99,2,3
2013025460,2,2013,6,9,1999,0,0,1,2,6,2,3
2013035305,1,2013,7,6,2010,0,0,1,1,3,1,3
2013035305,2,2013,7,8,2010,0,0,1,1,99,2,3
2013058235,1,2013,6,6,1996,0,0,1,1,99,,3
2013058235,2,2013,6,4,2010,0,0,1,1,99,1,3
2013058235,3,2013,6,6,2004,0,0,1,1,3,,3
2013057706,1,2013,7,9,2000,0,0,1,18,8,2,3
2013057706,2,2013,7,6,2008,0,0,1,1,5,1,3
2013040718,1,2013,7,6,2010,0,0,1,1,3,1,3
2013040718,2,2013,7,6,2003,0,0,1,1,99,,3
2013043415,1,2013,7,6,2008,0,0,1,1,3,,3
2013043415,2,2013,7,9,2004,0,0,1,2,6,2,3
2013033441,1,2013,7,4,2011,0,0,1,1,2,1,3
2013033441,2,2013,7,6,2009,0,0,1,1,99,1,3
2013033441,3,2013,7,8,2007,0,0,1,12,4,,3
2013007712,1,2013,7,8,2010,0,0,1,1,99,2,3
2013007712,2,2013,7,5,2005,0,0,1,1,99,1,3
2013051292,1,2013,5,8,2007,0,0,1,1,4,1,3
2013051292,2,2013,5,6,2011,0,0,1,1,3,1,3
