"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Qiryat Arba",31,0,3,1,16,17,145,162,"931 ","1,144 ","7,600 ","קריית ארבע"
"Qiryat Tiv'on",172,1,38,2,24,92,570,662,"5,758 ","6,657 ","17,300 ","קריית טבעון"
"Qiryat Ye'arim",12,0,0,0,7,4,56,60,"392 ","471 ","3,600 ","קריית יערים"
"Qiryat Eqron",143,22,50,4,11,107,353,460,"3,069 ","3,759 ","10,500 ","קריית עקרון"
"Qarne Shomeron",71,1,6,2,5,28,245,273,"1,730 ","2,088 ","6,600 ","קרני שומרון"
"Rame",11,3,18,1,25,88,343,431,"2,230 ","2,719 ","7,300 ","ראמה"
"Rosh Pinna",50,1,4,1,6,61,183,244,"1,107 ","1,413 ","2,800 ","ראש פינה"
"Reine",38,21,15,16,25,166,861,"1,027","3,323 ","4,465 ","15,600 ","ריינה"
"Rekhasim",30,0,5,4,21,20,150,170,"1,030 ","1,260 ","9,700 ","רכסים"
"Ramat Yishay",79,0,3,0,1,69,242,311,"2,565 ","2,959 ","7,200 ","רמת ישי"
"Shibli-Umm Al-Ghanam",32,4,7,3,34,186,265,451,"1,256 ","1,787 ","5,400 ","שבלי-אום אל-גנם"
"Segev-Shalom",14,0,2,1,45,95,309,404,"781 ","1,247 ","8,200 ","שגב-שלום"
"Shoham",284,1,37,4,18,72,498,570,"6,225 ","7,139 ","19,400 ","שוהם"
"Shelomi",70,2,5,18,13,24,203,227,"1,735 ","2,070 ","6,200 ","שלומי"
"Sha'ab",22,1,4,0,32,36,253,289,"1,453 ","1,801 ","6,300 ","שעב"
"Tel Mond",167,6,11,14,13,88,433,521,"3,713 ","4,445 ","11,000 ","תל מונד"
"Tel Sheva",27,11,1,10,51,113,633,746,"1,559 ","2,405 ","17,000 ","תל שבע"
,,,,,,,,,,,,
"(1) The data are presented according to the locality (address) ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב"
"      of the registered owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    ולא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
"(2) Population data - based on temporary estimate for the year 2012.",,,,,,,,,,,,"(2) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2012."
