"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Peqi'in (Buqei'a)",17,3,18,129,29,48,272,320,"1,570 ","2,086 ","5,435 ","פקיעין (בוקייעה)"
"Pardes Hanna-Karkur",424,4,52,76,70,251,"1,237","1,488","10,936 ","13,050 ","34,794 ","פרדס חנה-כרכור"
"Pardesiyya",110,3,18,0,6,56,195,251,"2,351 ","2,739 ","5,482 ","פרדסייה"
"Qedumim",25,0,0,0,4,16,130,146,"873 ","1,048 ","4,124 ","קדומים"
"Qadima-Zoran",332,17,52,23,30,267,749,"1,016","5,879 ","7,349 ","17,960 ","קדימה-צורן"
"Qazrin",71,2,12,27,36,46,235,281,"2,100 ","2,529 ","6,725 ","קצרין"
"Qiryat Arba",26,0,5,1,14,21,148,169,"975 ","1,190 ","7,593 ","קריית ארבע"
"Qiryat Tiv'on",160,2,37,1,19,104,520,624,"5,953 ","6,796 ","17,317 ","קריית טבעון"
"Qiryat Ye'arim",9,0,0,0,6,3,51,54,"409 ","478 ","3,621 ","קריית יערים"
"Qiryat Eqron",159,21,52,3,10,124,364,488,"3,167 ","3,900 ","10,506 ","קריית עקרון"
"Qarne Shomeron",71,4,7,2,6,38,219,257,"1,805 ","2,152 ","6,570 ","קרני שומרון"
"Rame",10,3,17,1,25,94,340,434,"2,323 ","2,813 ","7,269 ","ראמה"
"Rosh Pinna",58,1,4,1,4,59,169,228,"1,164 ","1,460 ","2,783 ","ראש פינה"
