,id,fcode_type,yishuv_symbol,yishuv_name,school_name,school_latin_name,usg,usg_code,e_ord,n_ord,longitude,latitude,geom,data_year,prdct_ver,x,y
437,54449961,252,9000,באר שבע,"בית ספר - מ""מ שז""ר",,13,5310,178560.2062,574322.149,34.77513504,31.25985371,0101000020e61000004f64ff9f37634140bc31d2c585423f40,-1,,178560.2062,574322.149
438,54452528,252,9000,באר שבע,החווה החקלאית להוראת מדעי החקלאות,,13,5300,176194.3893,574098.6008,34.75030624,31.25775218,0101000020e61000007264ed080a6041409d92ff0bfc413f40,2014,,176194.3893,574098.6008
439,54449685,252,9000,באר שבע,בית ספר - מצדה מדערום,,13,5310,179555.7858,572377.4368,34.78566499,31.24234897,0101000020e6100000c2d49eab90644140895e04950a3e3f40,2014,,179555.7858,572377.4368
440,54448723,252,9000,באר שבע,מכללת - אתגר,,13,5370,180559.4077,573334.7919,34.79616286,31.2510172,0101000020e6100000b3fe22aae8654140c7bbc8a942403f40,2014,,180559.4077,573334.7919
441,54451614,252,9000,באר שבע,בית ספר - לבנות בנות חייל,,13,5312,179280.9228,575128.9278,34.78266942,31.26715503,0101000020e6100000593df5822e644140d9cfa44564443f40,-1,,179280.9228,575128.9278
442,54446675,252,9000,באר שבע,"בית ספר - ח""ת עץ חיים",,13,5312,180881.5307,574842.2918,34.79948645,31.26462395,0101000020e61000002e2c6e925566414004fd2a65be433f40,2014,,180881.5307,574842.2918
443,54446782,252,9000,באר שבע,בית ספר - היובל,,13,5310,177053.8313,574859.0721,34.75929703,31.26464235,0101000020e610000064e623a530614140f762de99bf433f40,2014,,177053.8313,574859.0721
444,54446752,252,9000,באר שבע,בית ספר - מקיף ז' עמל,,13,5330,181234.5571,575414.0503,34.80317121,31.26979223,0101000020e6100000f6047050ce6641409e90841a11453f40,2014,,181234.5571,575414.0503
445,54453086,252,9000,באר שבע,בית ספר - עוזיאל,,13,5312,180103.6875,574562.3014,34.79133051,31.26207274,0101000020e6100000756372514a6541401e79f73217433f40,2014,,180103.6875,574562.3014
446,54446510,252,9000,באר שבע,כפר ילדים אשלים,,13,5338,180211.6459,571061.0592,34.79260107,31.23049886,0101000020e61000005a36adf3736541401d7729f9013b3f40,2014,,180211.6459,571061.0592
